year,country,arrivals,departures
1995,Albania,304000,12000
1995,Armenia,12000,
1995,Austria,17173000,
1995,Belgium,5560000,
1995,Bulgaria,3466000,3524000
1995,Belarus,160600,626000
1995,Switzerland,6946000,11148000
1995,Cyprus,2100000,360000
1995,Czech Republic,3381000,
1995,Germany,14847000,
1995,Denmark,2124000,
1995,Spain,32971000,3648000
1995,Estonia,530000,1764000
1995,Finland,1779000,5147000
1995,France,60033000,18686000
1995,United Kingdom,21719000,41345000
1995,Georgia,85000,228000
1995,Greece,10130000,
1995,Croatia,1485000,
1995,Hungary,2878000,13083000
1995,Ireland,4818000,2547000
1995,Iceland,190000,166000
1995,Israel,2215000,2259000
1995,Italy,31052000,
1995,Lithuania,650000,1925000
1995,Luxembourg,768000,
1995,Latvia,539000,1812000
1995,Moldova,32000,71000
1995,Malta,1116000,163000
1995,Netherlands,6574000,12313000
1995,Norway,2880000,590000
1995,Poland,19215000,36387000
1995,Portugal,4572000,
1995,Romania,5445000,5737000
1995,Slovak Republic,903000,
1995,Slovenia,732000,
1995,Sweden,2310000,10127000
1995,Turkey,7083000,3981000
1995,Ukraine,3716000,6552000
1996,Albania,287000,16000
1996,Armenia,13000,
1996,Austria,17090000,
1996,Belgium,5829000,5645000
1996,Bulgaria,2795000,3006000
1996,Belarus,234000,703000
1996,Switzerland,6730000,12061000
1996,Cyprus,1950000,365000
1996,Czech Republic,4558000,
1996,Germany,15205000,
1996,Denmark,2125000,5035000
1996,Spain,34027000,4224000
1996,Estonia,665000,1547000
1996,Finland,1724000,4918000
1996,France,62406000,18151000
1996,United Kingdom,22936000,42050000
1996,Georgia,117000,219000
1996,Greece,9233000,
1996,Croatia,2914000,
1996,Hungary,2979000,12064000
1996,Ireland,5289000,2733000
1996,Iceland,201000,190000
1996,Israel,2100000,2505000
1996,Italy,32943000,18173000
1996,Lithuania,832000,2864000
1996,Luxembourg,724000,
1996,Latvia,565000,1798000
1996,Moldova,29000,54000
1996,Malta,1054000,168000
1996,Netherlands,6580000,12807000
1996,Norway,2746000,692000
1996,Poland,19410000,44713000
1996,Portugal,4567000,
1996,Romania,5205000,5748000
1996,Slovak Republic,951000,
1996,Slovenia,832000,
1996,Sweden,2376000,10390000
1996,Turkey,7966000,4261000
1996,Ukraine,3854000,6004000
1997,Albania,119000,
1997,Armenia,23000,
1997,Austria,16647000,
1997,Belgium,6037000,7548000
1997,Bulgaria,2980000,3059000
1997,Belarus,253500,969000
1997,Switzerland,7039000,12515000
1997,Cyprus,2088000,422000
1997,Czech Republic,4976000,
1997,Germany,15837000,55800000
1997,Denmark,2158000,4693000
1997,Spain,39553000,3980000
1997,Estonia,730000,1616000
1997,Finland,1832000,5233000
1997,France,66591000,17115000
1997,United Kingdom,23215000,45957000
1997,Georgia,313000,355000
1997,Greece,10070000,
1997,Croatia,4178000,
1997,Hungary,2887000,12173000
1997,Ireland,5587000,3053000
1997,Iceland,202000,203000
1997,Israel,2010000,2707000
1997,Italy,34692000,19078000
1997,Lithuania,1012000,2981000
1997,Luxembourg,778000,694000
1997,Latvia,635000,1877000
1997,Moldova,21000,35000
1997,Malta,1111000,172000
1997,Netherlands,7841000,12858000
1997,Norway,2702000,753000
1997,Poland,19520000,48610000
1997,Portugal,4798000,
1997,Romania,5149000,6243000
1997,Slovak Republic,814000,
1997,Slovenia,974000,
1997,Sweden,2388000,10818000
1997,Turkey,9040000,4633000
1997,Ukraine,7558000,9632000
1998,Albania,184000,
1998,Armenia,32000,
1998,Austria,17352000,
1998,Belgium,6179000,7776000
1998,Bulgaria,2667000,2592000
1998,Belarus,355000,901000
1998,Switzerland,7185000,11891000
1998,Cyprus,2223000,484000
1998,Czech Republic,5482000,
1998,Germany,16511000,69200000
1998,Denmark,2073000,4788000
1998,Spain,41892000,4794000
1998,Estonia,825000,1659000
1998,Finland,1867000,4743000
1998,France,70109000,18077000
1998,United Kingdom,23710000,50872000
1998,Georgia,317000,433000
1998,Greece,10916000,
1998,Croatia,4499000,
1998,Hungary,2871000,12317000
1998,Ireland,6064000,3330000
1998,Iceland,232000,227000
1998,Israel,1942000,2983000
1998,Italy,34933000,19352000
1998,Lithuania,1416000,3241000
1998,Luxembourg,789000,757000
1998,Latvia,576000,1961000
1998,Moldova,19000,28000
1998,Malta,1182000,167000
1998,Netherlands,9312000,13553000
1998,Norway,3256000,
1998,Poland,18780000,49328000
1998,Portugal,5539000,
1998,Romania,4831000,6893000
1998,Slovak Republic,896000,
1998,Slovenia,977000,
1998,Sweden,2573000,11422000
1998,Turkey,8960000,4601000
1998,Ukraine,6208000,7773000
1999,Albania,371000,
1999,Armenia,41000,
1999,Austria,17467000,
1999,Belgium,6369000,6410000
1999,Bulgaria,2472000,2376000
1999,Belarus,74900,934000
1999,Switzerland,7154000,11815000
1999,Cyprus,2434000,540000
1999,Czech Republic,5610000,
1999,Germany,17116000,78100000
1999,Denmark,2023000,4744000
1999,Spain,45440000,3519000
1999,Estonia,950000,1780000
1999,Finland,1831000,5314000
1999,France,73147000,16709000
1999,United Kingdom,23341000,53881000
1999,Georgia,384000,373000
1999,Greece,12164000,
1999,Croatia,3805000,
1999,Hungary,2789000,10622000
1999,Ireland,6403000,3576000
1999,Iceland,263000,257000
1999,Israel,2312000,3203000
1999,Italy,36516000,18962000
1999,Lithuania,1422000,3487000
1999,Luxembourg,863000,809000
1999,Latvia,544000,2256000
1999,Moldova,14000,37000
1999,Malta,1214000,179000
1999,Netherlands,9874000,14184000
1999,Norway,3223000,2271000
1999,Poland,17950000,55097000
1999,Portugal,5379000,
1999,Romania,5224000,6274000
1999,Slovak Republic,975000,
1999,Slovenia,884000,
1999,Sweden,2595000,10500000
1999,Turkey,6893000,4758000
1999,Ukraine,4232000,7399000
2000,Albania,317000,
2000,Armenia,45000,111000
2000,Austria,17982000,7528000
2000,Belgium,6457000,7932000
2000,Bulgaria,2785000,2337000
2000,Belarus,60000,1289000
2000,Switzerland,7821000,12240000
2000,Cyprus,2686000,588000
2000,Czech Republic,4773000,
2000,Germany,18983000,80507000
2000,Denmark,3535000,5011000
2000,Spain,46403000,4100000
2000,Estonia,1220000,1800000
2000,Finland,1971000,5914000
2000,France,77190000,19886000
2000,United Kingdom,23212000,56837000
2000,Georgia,387000,315000
2000,Greece,13096000,
2000,Croatia,5831000,
2000,Hungary,2992000,11065000
2000,Ireland,6646000,3783000
2000,Iceland,303000,283000
2000,Israel,2417000,3530000
2000,Italy,41181000,21993000
2000,Lithuania,1083000,3632000
2000,Luxembourg,852000,950000
2000,Latvia,509000,2596000
2000,Moldova,18000,32000
2000,Malta,1216000,200000
2000,Netherlands,10003000,13896000
2000,Norway,3104000,2394000
2000,Poland,17400000,56677000
2000,Portugal,5599000,
2000,Romania,5264000,6388000
2000,Slovak Republic,1053000,
2000,Slovenia,1090000,1965000
2000,Sweden,3828000,10147000
2000,Turkey,9586000,5284000
2000,Ukraine,6431000,13422000
2001,Albania,354000,955000
2001,Armenia,123000,110000
2001,Austria,18180000,8350000
2001,Belgium,6452000,6570000
2001,Bulgaria,3186000,2730000
2001,Belarus,61000,1387000
2001,Switzerland,7455000,11554000
2001,Cyprus,2697000,684000
2001,Czech Republic,5405000,
2001,Germany,17861000,81551000
2001,Denmark,3684000,4946000
2001,Spain,48565000,4139000
2001,Estonia,1320000,1658000
2001,Finland,1999000,5824000
2001,France,75202000,19265000
2001,United Kingdom,20982000,58281000
2001,Georgia,302000,306000
2001,Greece,14057000,
2001,Croatia,6544000,
2001,Hungary,3070000,11167000
2001,Ireland,6353000,4216000
2001,Iceland,301000,
2001,Israel,1196000,3561000
2001,Italy,39563000,22421000
2001,Lithuania,1271000,3390000
2001,Luxembourg,836000,923000
2001,Latvia,591000,2697000
2001,Moldova,16000,30000
2001,Malta,1180000,179000
2001,Netherlands,9500000,14214000
2001,Norway,3073000,2348000
2001,Poland,15000000,53122000
2001,Portugal,5392000,
2001,Romania,4938000,6408000
2001,Slovak Republic,1219000,
2001,Slovenia,1219000,2055000
2001,Sweden,4108000,10741000
2001,Turkey,10783000,4856000
2001,Ukraine,9174000,14849000
2002,Albania,470000,1303000
2002,Armenia,162000,131000
2002,Austria,18611000,8266000
2002,Belgium,6720000,6773000
2002,Bulgaria,3433000,3188000
2002,Belarus,63000,1436000
2002,Switzerland,6868000,11427000
2002,Cyprus,2418000,744000
2002,Czech Republic,4743000,
2002,Germany,17969000,80393000
2002,Denmark,3436000,4935000
2002,Spain,50331000,3871000
2002,Estonia,1362000,1849000
2002,Finland,2043000,5857000
2002,France,77012000,18315000
2002,United Kingdom,22307000,59377000
2002,Georgia,298000,317000
2002,Greece,14180000,
2002,Croatia,6944000,
2002,Hungary,3013000,12966000
2002,Ireland,6476000,4634000
2002,Iceland,285000,
2002,Israel,861900,3273000
2002,Italy,39799000,25126000
2002,Lithuania,1428000,3584000
2002,Luxembourg,885000,1049000
2002,Latvia,848000,2306000
2002,Moldova,18000,52000
2002,Malta,1134000,157000
2002,Netherlands,9595000,16719000
2002,Norway,3111000,2629000
2002,Poland,13980000,45043000
2002,Portugal,5560000,
2002,Romania,4794000,5757000
2002,Slovak Republic,1399000,
2002,Slovenia,1302000,2127000
2002,Sweden,4276000,12888000
2002,Turkey,12790000,5131000
2002,Ukraine,10517000,14729000
2003,Albania,557000,1350000
2003,Armenia,206000,169000
2003,Austria,19078000,8384000
2003,Belgium,6690000,7268000
2003,Bulgaria,4048000,3403000
2003,Belarus,64000,1108000
2003,Switzerland,6530000,8774000
2003,Cyprus,2303000,737000
2003,Czech Republic,5076000,7213000
2003,Germany,18399000,85345000
2003,Denmark,3474000,5564000
2003,Spain,50854000,4094000
2003,Estonia,1462000,2075000
2003,Finland,2047000,5585000
2003,France,75048000,18576000
2003,United Kingdom,22787000,61424000
2003,Georgia,313000,
2003,Greece,13969000,
2003,Croatia,7409000,
2003,Hungary,2948000,14283000
2003,Ireland,6764000,4929000
2003,Iceland,317000,
2003,Israel,1063000,3299000
2003,Italy,39604000,26817000
2003,Lithuania,1491000,3502000
2003,Luxembourg,867000,1021000
2003,Latvia,971000,2286000
2003,Moldova,21000,67000
2003,Malta,1127000,174000
2003,Netherlands,9181000,16425000
2003,Norway,3269000,2588000
2003,Poland,13720000,38730000
2003,Portugal,5383000,
2003,Romania,5595000,6497000
2003,Slovak Republic,1387000,
2003,Slovenia,1373000,2114000
2003,Sweden,4268000,12649000
2003,Turkey,13341000,5928000
2003,Ukraine,12514000,14795000
2004,Albania,645000,1694000
2004,Armenia,263000,221000
2004,Austria,19374000,8371000
2004,Belgium,6710000,8783000
2004,Bulgaria,4630000,3882000
2004,Belarus,67000,515000
2004,Switzerland,,
2004,Cyprus,2349000,859000
2004,Czech Republic,6061000,6643000
2004,Germany,20137000,84859000
2004,Denmark,4421000,4630000
2004,Spain,52430000,5121000
2004,Estonia,1750000,
2004,Finland,2083000,5798000
2004,France,74433000,21131000
2004,United Kingdom,25678000,64194000
2004,Georgia,368000,466000
2004,Greece,13313000,
2004,Croatia,7912000,
2004,Hungary,3270000,17558000
2004,Ireland,6953000,5409000
2004,Iceland,360000,
2004,Israel,1505600,3614000
2004,Italy,37071000,23349000
2004,Lithuania,1800000,
2004,Luxembourg,878000,1100000
2004,Latvia,1079000,2457000
2004,Moldova,69000,68000
2004,Malta,1156000,203000
2004,Netherlands,9646000,17130000
2004,Norway,3628000,2960000
2004,Poland,14290000,37226000
2004,Portugal,5654000,17141000
2004,Romania,6600000,6972000
2004,Slovak Republic,1401000,
2004,Slovenia,1499000,2800000
2004,Sweden,4676000,13950000
2004,Turkey,16826000,7299000
2004,Ukraine,15629000,15588000
2005,Albania,748000,2097000
2005,Armenia,319000,269000
2005,Austria,19952000,8206000
2005,Belgium,6747000,9327000
2005,Bulgaria,4837000,4235000
2005,Belarus,91000,572000
2005,Switzerland,7229000,
2005,Cyprus,2470000,914000
2005,Czech Republic,6336000,6963000
2005,Germany,21500000,86622000
2005,Denmark,9587000,5469000
2005,Spain,55914000,10464000
2005,Estonia,1917000,
2005,Finland,2080000,5902000
2005,France,74988000,22480000
2005,United Kingdom,28039000,66494000
2005,Georgia,560000,857000
2005,Greece,14765000,
2005,Croatia,7743000,
2005,Hungary,3446000,17759000
2005,Ireland,7333000,6113000
2005,Iceland,374000,364000
2005,Israel,1903000,3687000
2005,Italy,36513000,24796000
2005,Lithuania,2000000,1633000
2005,Luxembourg,913000,1185000
2005,Latvia,1116000,2959000
2005,Moldova,67000,57000
2005,Malta,1171000,225000
2005,Netherlands,10012000,17039000
2005,Norway,3824000,3166000
2005,Poland,15200000,40841000
2005,Portugal,5769000,18110000
2005,Romania,5839000,7140000
2005,Slovak Republic,1515000,2987000
2005,Slovenia,1555000,2660000
2005,Sweden,4883000,15677000
2005,Turkey,20273000,8246000
2005,Ukraine,17631000,16454000
2006,Albania,937000,2616000
2006,Armenia,382000,329000
2006,Austria,20269000,10042000
2006,Belgium,6995000,7852000
2006,Bulgaria,5158000,4180000
2006,Belarus,89000,525000
2006,Switzerland,7863000,
2006,Cyprus,2401000,932000
2006,Czech Republic,6435000,6393000
2006,Germany,23569000,81801000
2006,Denmark,9630000,6129000
2006,Spain,58004000,10678000
2006,Estonia,1940000,438000
2006,Finland,2317000,5756000
2006,France,77916000,22240000
2006,United Kingdom,30654000,69536000
2006,Georgia,983000,1346000
2006,Greece,16039000,
2006,Croatia,7988000,
2006,Hungary,3310000,16597000
2006,Ireland,8001000,6848000
2006,Iceland,422000,440000
2006,Israel,1825000,3713000
2006,Italy,41058000,25697000
2006,Lithuania,2180000,1789000
2006,Luxembourg,908000,1084000
2006,Latvia,1535000,3151000
2006,Moldova,63000,68000
2006,Malta,1124000,257000
2006,Netherlands,10739000,16695000
2006,Norway,4070000,3236000
2006,Poland,15670000,44696000
2006,Portugal,6349000,18378000
2006,Romania,6037000,8906000
2006,Slovak Republic,1612000,3149000
2006,Slovenia,1617000,2680000
2006,Sweden,4729000,12559000
2006,Turkey,18916000,8275000
2006,Ukraine,18936000,16875000
2007,Albania,1127000,2979000
2007,Armenia,511000,468000
2007,Austria,20773000,9876000
2007,Belgium,7045000,8371000
2007,Bulgaria,5151000,4515000
2007,Belarus,105000,517000
2007,Switzerland,8448000,
2007,Cyprus,2416000,1081000
2007,Czech Republic,6680000,9048000
2007,Germany,24421000,82099000
2007,Denmark,9832000,6564000
2007,Spain,58666000,11276000
2007,Estonia,1900000,677000
2007,Finland,2472000,5749000
2007,France,80853000,28103000
2007,United Kingdom,30870000,69450000
2007,Georgia,1052000,1473000
2007,Greece,16165000,
2007,Croatia,8559000,
2007,Hungary,3451000,17056000
2007,Ireland,8332000,7713000
2007,Iceland,485000,460000
2007,Israel,2067000,4147000
2007,Italy,43654000,27734000
2007,Lithuania,1486000,1661000
2007,Luxembourg,914000,1132000
2007,Latvia,1653000,3398000
2007,Moldova,70000,82000
2007,Malta,1244000,280000
2007,Netherlands,11008000,17523000
2007,Norway,4377000,3395000
2007,Poland,14975000,47561000
2007,Portugal,6788000,20989000
2007,Romania,7722000,10980000
2007,Slovak Republic,1685000,3603000
2007,Slovenia,1751000,2496000
2007,Sweden,5224000,12692000
2007,Turkey,26122000,4956000
2007,Ukraine,23122000,17335000
2008,Albania,1420000,3716000
2008,Armenia,558000,516000
2008,Austria,21935000,9677000
2008,Belgium,7165000,8887000
2008,Bulgaria,5780000,5727000
2008,Belarus,90500,380000
2008,Switzerland,8608000,11147000
2008,Cyprus,2404000,1210000
2008,Czech Republic,6649000,9665000
2008,Germany,24884000,86201000
2008,Denmark,9564000,6347000
2008,Spain,57192000,11229000
2008,Estonia,2079000,692000
2008,Finland,2494000,5854000
2008,France,79218000,25506000
2008,United Kingdom,30142000,69011000
2008,Georgia,1290000,1872000
2008,Greece,15939000,3765000
2008,Croatia,8665000,2357000
2008,Hungary,3516000,17162000
2008,Ireland,8026000,7877000
2008,Iceland,502000,414000
2008,Israel,2572000,4207000
2008,Italy,42734000,28284000
2008,Lithuania,1611000,1757000
2008,Luxembourg,877000,1190000
2008,Latvia,1684000,3782000
2008,Moldova,73000,85000
2008,Malta,1291000,261000
2008,Netherlands,10104000,18399000
2008,Norway,4347000,
2008,Poland,12960000,50243000
2008,Portugal,6962000,
2008,Romania,8862000,13072000
2008,Slovak Republic,1767000,3683000
2008,Slovenia,1958000,2459000
2008,Sweden,4555000,13291000
2008,Turkey,29792000,4893000
2008,Ukraine,25449000,15499000
2009,Albania,1856000,3404000
2009,Armenia,575000,526000
2009,Austria,21355000,10121000
2009,Belgium,6815000,8775000
2009,Bulgaria,5739000,4993000
2009,Belarus,95000,316000
2009,Switzerland,8294000,10453000
2009,Cyprus,2141000,1172000
2009,Czech Republic,6032000,8904000
2009,Germany,24220000,85547000
2009,Denmark,9265000,7037000
2009,Spain,52178000,12017000
2009,Estonia,2059000,752000
2009,Finland,2220000,5832000
2009,France,76764000,25140000
2009,United Kingdom,28199000,58614000
2009,Georgia,1500000,1980000
2009,Greece,14915000,3835000
2009,Croatia,8694000,2497000
2009,Hungary,3228000,16640000
2009,Ireland,7189000,7047000
2009,Iceland,494000,259000
2009,Israel,2321000,4007000
2009,Italy,43239000,29060000
2009,Lithuania,1341000,1288000
2009,Luxembourg,847000,1362000
2009,Latvia,1323000,3268000
2009,Moldova,60000,93000
2009,Malta,1182000,264000
2009,Netherlands,9921000,18340000
2009,Norway,4346000,
2009,Poland,11890000,39270000
2009,Portugal,6439000,
2009,Romania,7575000,11723000
2009,Slovak Republic,1298000,3230000
2009,Slovenia,1824000,2586000
2009,Sweden,4899000,11699000
2009,Turkey,30187000,5561000
2009,Ukraine,20798000,15334000
2010,Albania,2417000,3443000
2010,Armenia,684000,563000
2010,Austria,22004000,9882000
2010,Belgium,7186000,8801000
2010,Bulgaria,6047000,3676000
2010,Belarus,119300,415000
2010,Switzerland,8628000,10011000
2010,Cyprus,2173000,1246000
2010,Czech Republic,6334000,8673000
2010,Germany,26875000,85872000
2010,Denmark,9425000,7726000
2010,Spain,52677000,12379000
2010,Estonia,2372000,955000
2010,Finland,2319000,6633000
2010,France,76647000,25041000
2010,United Kingdom,28295000,55562000
2010,Georgia,2032000,2086000
2010,Greece,15007000,3799000
2010,Croatia,9111000,1873000
2010,Hungary,3462000,16082000
2010,Ireland,7134000,6917000
2010,Iceland,489000,299000
2010,Israel,2803000,4269000
2010,Italy,43626000,29823000
2010,Lithuania,1507000,1411000
2010,Luxembourg,805000,1237000
2010,Latvia,1373000,3332000
2010,Moldova,64000,116900
2010,Malta,1339000,294000
2010,Netherlands,10883000,18368000
2010,Norway,4767000,
2010,Poland,12470000,42760000
2010,Portugal,6756000,
2010,Romania,7498000,10905000
2010,Slovak Republic,1327000,2692000
2010,Slovenia,1869000,2874000
2010,Sweden,5183000,13042000
2010,Turkey,31364000,6557000
2010,Ukraine,21203000,17180000
2011,Albania,2932000,4120000
2011,Armenia,758000,715000
2011,Austria,23012000,9874000
2011,Belgium,7494000,9727000
2011,Bulgaria,6328000,3803000
2011,Belarus,116000,320000
2011,Switzerland,8534000,10466000
2011,Cyprus,2392000,1209000
2011,Czech Republic,6715000,5279000
2011,Germany,28374000,84692000
2011,Denmark,8471000,7846000
2011,Spain,56177000,13347000
2011,Estonia,2665000,1054000
2011,Finland,2623000,7274000
2011,France,80499000,26155000
2011,United Kingdom,29306000,56836000
2011,Georgia,2822000,2237000
2011,Greece,16427000,4941000
2011,Croatia,9927000,2880000
2011,Hungary,3822000,16634000
2011,Ireland,7630000,6514000
2011,Iceland,566000,341000
2011,Israel,2820000,4387000
2011,Italy,46119000,29295000
2011,Lithuania,1775000,1526000
2011,Luxembourg,874000,1643000
2011,Latvia,1493000,3257000
2011,Moldova,75000,135900
2011,Malta,1415000,309000
2011,Netherlands,11300000,18560000
2011,Norway,4963000,
2011,Poland,13350000,43270000
2011,Portugal,7264000,
2011,Romania,7611000,10936000
2011,Slovak Republic,1460000,3285000
2011,Slovenia,2037000,2722000
2011,Sweden,5222000,14651000
2011,Turkey,34654000,6282000
2011,Ukraine,21415000,19773000
2012,Albania,3514000,3959000
2012,Armenia,963000,965000
2012,Austria,24151000,10960000
2012,Belgium,7560000,9576000
2012,Bulgaria,6541000,3758000
2012,Belarus,119000,493000
2012,Switzerland,8566000,12098000
2012,Cyprus,2465000,1194000
2012,Czech Republic,7647000,5419000
2012,Germany,30411000,82729000
2012,Denmark,8443000,7843000
2012,Spain,57464000,12422000
2012,Estonia,2744000,1147000
2012,Finland,2778000,9055000
2012,France,81980000,25317000
2012,United Kingdom,29282000,56538000
2012,Georgia,4428000,2734000
2012,Greece,15518000,4681000
2012,Croatia,10369000,2680000
2012,Hungary,4164000,16143000
2012,Ireland,7550000,6600000
2012,Iceland,673000,358000
2012,Israel,2886000,4349000
2012,Italy,46360000,28810000
2012,Lithuania,1900000,1708000
2012,Luxembourg,950000,1580000
2012,Latvia,1435000,183000
2012,Moldova,89000,146400
2012,Malta,1443000,331000
2012,Netherlands,11680000,18628000
2012,Norway,4538000,
2012,Poland,14840000,48290000
2012,Portugal,7503000,1361000
2012,Romania,7937000,11149000
2012,Slovak Republic,1528000,2689000
2012,Slovenia,2156000,2474000
2012,Sweden,5146000,15548000
2012,Turkey,35698000,5803000
2012,Ukraine,23013000,21433000
2013,Albania,3256000,3928000
2013,Armenia,1084000,1083000
2013,Austria,24813000,10671000
2013,Belgium,7684000,10803000
2013,Bulgaria,6898000,3930000
2013,Belarus,137000,708000
2013,Switzerland,8967000,12403000
2013,Cyprus,2405000,1115000
2013,Czech Republic,7852000,5781000
2013,Germany,31545000,87459000
2013,Denmark,8557000,6977000
2013,Spain,60675000,11246000
2013,Estonia,2873000,1166000
2013,Finland,2797000,8562000
2013,France,83634000,26062000
2013,United Kingdom,31063000,57792000
2013,Georgia,5392000,3220000
2013,Greece,17920000,4594000
2013,Croatia,10948000,2927000
2013,Hungary,4388000,16038000
2013,Ireland,8260000,6579000
2013,Iceland,807300,365000
2013,Israel,2962000,4757000
2013,Italy,47704000,27798000
2013,Lithuania,2012000,1764000
2013,Luxembourg,945000,1624000
2013,Latvia,1536000,1776000
2013,Moldova,95600,157300
2013,Malta,1582000,363000
2013,Netherlands,12783000,18094000
2013,Norway,4778000,
2013,Poland,15800000,52580000
2013,Portugal,8097000,1329000
2013,Romania,8019000,11364000
2013,Slovak Republic,1670000,2129000
2013,Slovenia,2259000,2612000
2013,Sweden,5229000,15917000
2013,Turkey,37795000,7526000
2013,Ukraine,24671000,23761000
2014,Albania,3673000,4146000
2014,Armenia,1204000,1198000
2014,Austria,25291000,10994000
2014,Belgium,7887000,10991000
2014,Bulgaria,7311000,4158000
2014,Belarus,136800,741000
2014,Switzerland,9158000,12518000
2014,Cyprus,2441000,1209000
2014,Czech Republic,8096000,5651000
2014,Germany,32999000,83008000
2014,Denmark,10267000,8528000
2014,Spain,64939000,11783000
2014,Estonia,2918000,1426000
2014,Finland,2731000,8731000
2014,France,83701000,27919000
2014,United Kingdom,32613000,60082000
2014,Georgia,5516000,3106000
2014,Greece,22033000,5802000
2014,Croatia,11623000,2763000
2014,Hungary,4618000,16340000
2014,Ireland,8813000,6676000
2014,Iceland,997600,400000
2014,Israel,2927000,5181000
2014,Italy,48576000,28460000
2014,Lithuania,2063000,1789000
2014,Luxembourg,1038000,1815000
2014,Latvia,1843000,1846000
2014,Moldova,93900,179500
2014,Malta,1690000,391000
2014,Netherlands,13925000,17928000
2014,Norway,4855000,
2014,Poland,16000000,35400000
2014,Portugal,9092000,1460000
2014,Romania,8442000,12299000
2014,Slovak Republic,1475000,2406000
2014,Slovenia,2411000,2642000
2014,Sweden,5660000,
2014,Turkey,39811000,7982000
2014,Ukraine,12712000,22438000
2015,Albania,4131000,4504000
2015,Armenia,1192000,1187000
2015,Austria,26719000,10628000
2015,Belgium,8355000,10835000
2015,Bulgaria,7099000,4632000
2015,Belarus,102000,671000
2015,Switzerland,9305000,13601000
2015,Cyprus,2659000,1119000
2015,Czech Republic,8707000,5856000
2015,Germany,34970000,83737000
2015,Denmark,10424000,8991000
2015,Spain,68215000,14407000
2015,Estonia,2989000,1250000
2015,Finland,2622000,8904000
2015,France,84452000,26648000
2015,United Kingdom,34436000,65720000
2015,Georgia,5901000,3135000
2015,Greece,23599000,6291000
2015,Croatia,12683000,2578000
2015,Hungary,4929000,17276000
2015,Ireland,9528000,7094000
2015,Iceland,1289000,450000
2015,Israel,2799000,5891000
2015,Italy,50732000,29040000
2015,Lithuania,2071000,1860000
2015,Luxembourg,1090000,1702000
2015,Latvia,2024000,1720000
2015,Moldova,94400,185700
2015,Malta,1783000,428000
2015,Netherlands,15007000,18070000
2015,Norway,5361000,
2015,Poland,16722000,44300000
2015,Portugal,9957000,
2015,Romania,9331000,13118000
2015,Slovak Republic,1721000,2777000
2015,Slovenia,2707000,2867000
2015,Sweden,6482000,
2015,Turkey,39478000,8751000
2015,Ukraine,12428000,23142000
